frame_index,fixation_index,time_seconds,duration_seconds,center_x_px,center_y_px,radius_px
1,36,0.20215,0.20215,1432.5506,1336.14306,200.0
2,95,0.5625,0.35254,1439.79095,1338.05031,200.0
3,154,0.96289,0.0752,1712.9996,1567.83579,200.0
4,209,1.27734,0.31299,1808.7433,1655.34042,200.0
5,248,1.54883,0.2627,1909.7416,1620.2470199999998,200.0
6,308,1.90088,0.34814,1568.2231500000003,1574.16786,200.0
7,392,2.4199200000000003,0.51758,1648.6613,1427.56391,200.0
8,459,2.8305700000000003,0.40479,1952.60325,1573.37953,200.0
9,487,3.00488,0.16504,1921.9616,1359.3606499999999,200.0
10,528,3.21924,0.20947,1900.6376999999998,1303.10949,200.0
11,609,3.69678,0.45215,1169.97335,1526.8934900000002,200.0
12,655,3.95654,0.25879,1092.2236,1541.10886,200.0
13,692,4.15576,0.19385,1238.0693,1305.75421,200.0
14,713,4.26904,0.10352,1574.5775500000002,1113.6814199999997,200.0
15,769,4.60352,0.32471,1885.82095,1117.8265099999999,200.0
16,804,4.79736,0.18848,1901.7680500000001,1275.18735,200.0
17,877,5.23291,0.41357,1243.53775,1452.68875,200.0
18,910,5.41797,0.18408,1170.0344499999999,1512.9324199999999,200.0
19,918,5.46045,0.03223,1128.42535,1553.2644,200.0
20,999,5.9458,0.09717,1045.57375,1633.8012099999999,200.0
21,1066,6.31787,0.3501,953.4044000000001,2067.73873,200.0
22,1085,6.42969,0.08984,1962.9902499999998,1938.32546,200.0
23,1129,6.67236,0.2417,2072.60365,1956.20275,200.0
24,1191,7.01318,0.32373,1881.6050500000001,1490.35058,200.0
25,1213,7.13232,0.1132799999999999,1826.61505,1436.31183,200.0
26,1276,7.48096,0.32324,1205.04475,1620.7301900000002,200.0
27,1307,7.66016,0.17188,1098.6391,1685.1698099999999,200.0
28,1323,7.75635,0.09033,971.45945,2047.1150000000002,200.0
29,1385,8.08643,0.3291,988.9646,2087.39612,200.0
30,1398,8.16748,0.0712899999999999,1569.9950500000002,1925.12729,200.0
31,1439,8.403319999999999,0.21045,2082.1658,1911.67482,200.0
32,1468,8.56494,0.16064,2086.2594999999997,1950.4047099999998,200.0
33,1488,8.668460000000001,0.10254,2073.2146500000003,1997.9588099999999,200.0
34,1570,9.14746,0.2036099999999999,1111.80615,1612.71974,200.0
35,1631,9.49365,0.3291,1145.1972999999998,1238.77159,200.0
36,1645,9.57471,0.07178,1458.7014000000001,1509.39765,200.0
37,1667,9.69678,0.09668,1924.2528499999999,1690.17952,200.0
38,1690,9.82617,0.12207,2013.64215,1634.2589500000001,200.0
39,1707,9.92432,0.09082,2032.46095,1640.94704,200.0
40,1805,10.4585,0.20508,2050.3938000000003,1454.90116,200.0
41,1901,10.99219,0.20605,1818.3359999999998,1377.74654,200.0
42,1939,11.20898,0.21143,1606.28845,1304.88959,200.0
43,2018,11.64502,0.42725,1189.28095,1504.1845,200.0
44,2066,11.91309,0.25879,1178.8939500000001,1546.8560400000001,200.0
45,2112,12.17188,0.2417,1847.45015,1301.3802500000002,200.0
46,2151,12.3833,0.21045,1886.5846999999999,1186.00434,200.0
47,2170,12.50195,0.11279,1782.8369,1245.8665599999997,200.0
48,2223,12.79297,0.26514,1132.8551,1557.76551,200.0
49,2253,12.96484,0.146,1321.7151999999996,1167.54216,200.0
50,2297,13.20703,0.2412099999999999,1449.8419,1001.71313,200.0
51,2325,13.37646,0.16846,1591.1662,1022.3877200000001,200.0
52,2362,13.6123,0.22559,1758.9468000000002,885.44717,200.0
53,2402,13.83789,0.2241199999999999,1751.4315000000001,700.06247,200.0
54,2443,14.06396,0.2251,1739.4559,543.41367,200.0
55,2483,14.33008,0.25928,1706.1258500000001,605.51373,200.0
56,2518,14.53271,0.17725,1217.7535499999997,750.03242,200.0
